[2024-11-27T14:40:31.988939+01:00] defaultLogger.INFO: Beginning backup job. Type: 3. BaseName: C:\xampp\htdocs\standcrm/tmp_attach/ChurchCRMBackups/PCEAStAndrewsChurch-20241127-164031 [] {"url":"/standcrm/api/database/backup","remote_ip":"::1","correlation_id":"6747214ff1716"}
[2024-11-27T14:40:33.303962+01:00] defaultLogger.INFO: Completed backup job.  Took : 1335.3ms. 0.4451% of max_execution_time [] {"url":"/standcrm/api/database/backup","remote_ip":"::1","correlation_id":"6747214ff1716"}
[2024-11-27T14:40:36.243572+01:00] defaultLogger.INFO: Download requested for :C:\xampp\htdocs\standcrm/tmp_attach/ChurchCRMBackups/PCEAStAndrewsChurch-20241127-164031.tar.gz [] {"url":"/standcrm/api/database/download/PCEAStAndrewsChurch-20241127-164031.tar.gz","remote_ip":"::1","correlation_id":"674721543b77d"}
[2024-11-27T14:40:47.513842+01:00] defaultLogger.INFO: Beginning backup job. Type: 2. BaseName: C:\xampp\htdocs\standcrm/tmp_attach/ChurchCRMBackups/PCEAStAndrewsChurch-20241127-164047 [] {"url":"/standcrm/api/database/backup","remote_ip":"::1","correlation_id":"6747215f7d73a"}
[2024-11-27T14:40:48.506032+01:00] defaultLogger.INFO: Completed backup job.  Took : 992.63ms. 0.33087666666667% of max_execution_time [] {"url":"/standcrm/api/database/backup","remote_ip":"::1","correlation_id":"6747215f7d73a"}
[2024-11-27T14:40:50.444863+01:00] defaultLogger.INFO: Download requested for :C:\xampp\htdocs\standcrm/tmp_attach/ChurchCRMBackups/PCEAStAndrewsChurch-20241127-164047.sql [] {"url":"/standcrm/api/database/download/PCEAStAndrewsChurch-20241127-164047.sql","remote_ip":"::1","correlation_id":"674721626c9d6"}
[2024-11-27T14:58:05.613229+01:00] defaultLogger.WARNING: issue creating geoCoder API access denied. Request: https://maps.googleapis.com/maps/api/geocode/json?address=36%20Nairobi%20Nairobi%2C%2030%2000100%20KE&language=en&key= - Message: You must use an API key to authenticate each request to Google Maps Platform APIs. For additional information, please refer to http://g.co/dev/maps-no-account [] {"url":"/standcrm/FamilyEditor.php?FamilyID=-1","remote_ip":"::1","correlation_id":"6747256d95b76"}
[2024-11-27T14:58:23.922742+01:00] defaultLogger.WARNING: issue creating geoCoder API access denied. Request: https://maps.googleapis.com/maps/api/geocode/json?address=36%20Nairobi%20Nairobi%2C%2030%2000100%20KE&language=en&key= - Message: You must use an API key to authenticate each request to Google Maps Platform APIs. For additional information, please refer to http://g.co/dev/maps-no-account [] {"url":"/standcrm/FamilyEditor.php?FamilyID=3","remote_ip":"::1","correlation_id":"6747257fe1490"}
[2024-11-27T14:59:38.779072+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=classes","remote_ip":"::1","correlation_id":"674725cabe357"}
[2024-11-27T15:00:08.496449+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=classes&ListID=1","remote_ip":"::1","correlation_id":"674725e87934a"}
[2024-11-27T15:00:17.153943+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=classes&ListID=1","remote_ip":"::1","correlation_id":"674725f125961"}
[2024-11-27T15:00:26.094223+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=classes&ListID=1","remote_ip":"::1","correlation_id":"674725fa17019"}
[2024-11-27T15:00:34.744740+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=famroles","remote_ip":"::1","correlation_id":"67472602b5d2e"}
[2024-11-27T15:00:42.078357+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=famroles&ListID=2","remote_ip":"::1","correlation_id":"6747260a1321f"}
[2024-11-27T15:00:44.669774+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=famroles&ListID=2","remote_ip":"::1","correlation_id":"6747260ca3859"}
[2024-11-27T15:00:54.697590+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=famroles","remote_ip":"::1","correlation_id":"67472616aa505"}
[2024-11-27T15:04:19.162145+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes","remote_ip":"::1","correlation_id":"674726e32796b"}
[2024-11-27T17:29:31.823684+01:00] defaultLogger.WARNING: issue creating geoCoder API access denied. Request: https://maps.googleapis.com/maps/api/geocode/json?address=65165-00168%20nairobi%2C%2030%2065165%20KE&language=en&key= - Message: You must use an API key to authenticate each request to Google Maps Platform APIs. For additional information, please refer to http://g.co/dev/maps-no-account [] {"url":"/standcrm/FamilyEditor.php?FamilyID=-1","remote_ip":"::1","correlation_id":"674748ebc91ae"}
[2024-11-27T17:30:13.229397+01:00] defaultLogger.WARNING: issue creating geoCoder API access denied. Request: https://maps.googleapis.com/maps/api/geocode/json?address=65165-00168%20nairobi%2C%2030%2065165%20KE&language=en&key= - Message: You must use an API key to authenticate each request to Google Maps Platform APIs. For additional information, please refer to http://g.co/dev/maps-no-account [] {"url":"/standcrm/FamilyEditor.php?FamilyID=-1","remote_ip":"::1","correlation_id":"674749153803a"}
[2024-11-27T17:37:57.238753+01:00] defaultLogger.WARNING: issue creating geoCoder API access denied. Request: https://maps.googleapis.com/maps/api/geocode/json?address=65165-00168%20nairobi%2C%2030%2065165%20KE&language=en&key= - Message: You must use an API key to authenticate each request to Google Maps Platform APIs. For additional information, please refer to http://g.co/dev/maps-no-account [] {"url":"/standcrm/FamilyEditor.php?FamilyID=4","remote_ip":"::1","correlation_id":"67474ae53a4b5"}
[2024-11-27T17:46:54.006720+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes","remote_ip":"::1","correlation_id":"67474cfe01a4f"}
[2024-11-27T17:46:58.688797+01:00] defaultLogger.WARNING: Encountered invalid configuration(s) for sInactiveClassification, please fix this [] {"url":"/standcrm/OptionManager.php?mode=grptypes&ListID=3","remote_ip":"::1","correlation_id":"67474d02a82bd"}
